model,display_name,v_mae,v_rmse,v_r2,n_valid_points
mlp,ANN,0.0077984328381717205,0.021531490254558337,0.9970993995666504,144960
rnn,RNN,0.006311111617833376,0.016418328515156053,0.9983134269714355,144960
lstm,LSTM,0.004945146385580301,0.02055959394334281,0.9973553419113159,144960
bilstm,BiLSTM,0.004873265512287617,0.021652235121181796,0.9970667362213135,144960
cnn,CNN,0.0073175206780433655,0.018441246393866764,0.9978722333908081,144960
cnn_bilstm,CNN-BiLSTM,0.0034645888954401016,0.014344919900209994,0.9987125396728516,144960
bayesian_mlp,Bayesian MLP,0.00850724522024393,0.02003994706104263,0.9974873065948486,144960
