model,display_name,t_mae,t_rmse,t_r2,n_valid_points
mlp,ANN,0.16787955164909363,0.32542239671726597,0.997107207775116,144960
rnn,RNN,0.14295107126235962,0.2418284061314654,0.9984025359153748,144960
lstm,LSTM,0.11692340672016144,0.3104003944655006,0.9973680973052979,144960
bilstm,BiLSTM,0.1338111311197281,0.34807735827668446,0.9966904520988464,144960
cnn,CNN,0.1555895209312439,0.2895764215705675,0.9977093935012817,144960
cnn_bilstm,CNN-BiLSTM,0.10289574414491653,0.24083208146616888,0.9984156489372253,144960
bayesian_mlp,Bayesian MLP,0.18523657321929932,0.3160843447927948,0.9972708821296692,144960
