v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,macro_mae,macro_rmse,macro_r2,n_rows,model,display_name,group_kind,group
7.054419926155766,9.10106262620442,0.9473755321686068,0.2807678235437255,0.3576985684183676,0.9143520398500897,3.6675938748497456,4.729380597311394,0.9308637860093483,151,ann,ANN,experiment_id,cc_chg_1p5C_25degC
6.894719094503675,8.830047975885186,0.9299546359570736,0.38761156411484543,0.5030051453967883,0.863612626427202,3.6411653293092603,4.666526560640987,0.8967836311921378,151,ann,ANN,experiment_id,cc_chg_2C_25degC
6.566400621338425,8.880374001223986,0.8523976111092824,0.49207210017240877,0.6527474925083603,0.8202807364447654,3.5292363607554167,4.7665607468661735,0.8363391737770238,151,ann,ANN,experiment_id,cc_chg_2p5C_25degC
14.313881058969018,18.816382643669698,0.9579301081484501,0.1866202701580035,0.23933017876958965,0.989036921092977,7.250250664563511,9.527856411219643,0.9734835146207136,151,ann,ANN,experiment_id,cc_dchg_1p5C_25degC
12.619700919387457,17.275629102007233,0.9613275596737333,0.21559874168282034,0.2916335330098105,0.9918137452209541,6.417649830535138,8.783631317508522,0.9765706524473436,151,ann,ANN,experiment_id,cc_dchg_2C_25degC
12.814150901073061,17.59891838197452,0.9560208189805224,0.27762135276829564,0.3800617042009405,0.9915288525757892,6.545886126920679,8.98949004308773,0.9737748357781557,151,ann,ANN,experiment_id,cc_dchg_2p5C_25degC
6.838513213999288,8.937936573656955,0.9316496703852758,0.3868171626103266,0.518665509141857,0.905360765760534,3.6126651883048075,4.728301041399407,0.918505218072905,453,ann,ANN,operation,charge
13.249244293143178,17.909267106524435,0.9584961090170832,0.22661345486970652,0.309179533090291,0.9923609339656657,6.7379288740064425,9.109223319807363,0.9754285214913745,453,ann,ANN,operation,discharge
10.684150492562392,14.779810498093156,0.9757396842820785,0.2336940468508645,0.3043248267217393,0.972565672115687,5.458922269706628,7.542067662407447,0.9741526781988827,302,ann,ANN,c_rate,1.5
9.757210006945567,13.71891227697286,0.9793192358161273,0.3016051528988329,0.4111351930152832,0.9723905086993146,5.0294075799222,7.065023734994072,0.9758548722577209,302,ann,ANN,c_rate,2.0
9.690275761205745,13.938848062465842,0.9791749180139577,0.38484672647035223,0.5341002658565501,0.970814080697686,5.037561243838049,7.236474164161196,0.9749944993558219,302,ann,ANN,c_rate,2.5
9.922528110456161,11.94769286160451,0.909307450494195,0.38566924089083565,0.5011870392141097,0.8318556483325552,5.154098675673499,6.22443995040931,0.8705815494133751,151,mlp,MLP,experiment_id,cc_chg_1p5C_25degC
7.009390663131984,9.431800902977661,0.920082384100026,0.5090167008364977,0.6862274846741647,0.7461568036414892,3.759203681984241,5.059014193825913,0.8331195938707576,151,mlp,MLP,experiment_id,cc_chg_2C_25degC
5.106212091546978,7.209348338581192,0.9027201497724652,0.5785920092557644,0.801204185230385,0.7292361851026021,2.8424020504013714,4.005276261905788,0.8159781674375337,151,mlp,MLP,experiment_id,cc_chg_2p5C_25degC
