branch,v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,n_valid_points,model,display_name,best_epoch,best_val_loss,parameter_count,rank_v_mae,rank_v_rmse,rank_t_mae,rank_t_rmse,rank_v_r2,rank_t_r2,average_rank,macro_mae,macro_rmse,macro_r2,n_rows,rank_macro_mae,rank_macro_rmse,rank_macro_r2
time_series,0.0034645888954401,0.0143449199002099,0.9987125396728516,0.1028957441449165,0.2408320814661688,0.9984156489372252,144960.0,cnn_bilstm,CNN-BiLSTM,300.0,0.0010657627970471,611330.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
time_series,0.0063111116178333,0.016418328515156,0.9983134269714355,0.1429510712623596,0.2418284061314654,0.9984025359153748,144960.0,rnn,RNN,292.0,0.0013109326507482,51714.0,4.0,2.0,4.0,2.0,2.0,2.0,2.6666666666666665,,,,,,,
time_series,0.0073175206780433,0.0184412463938667,0.997872233390808,0.1555895209312439,0.2895764215705675,0.9977093935012816,144960.0,cnn,CNN,277.0,0.0017111033568572,70402.0,5.0,3.0,5.0,3.0,3.0,3.0,3.6666666666666665,,,,,,,
time_series,0.0049451463855803,0.0205595939433428,0.997355341911316,0.1169234067201614,0.3104003944655006,0.997368097305298,144960.0,lstm,LSTM,289.0,0.0017717764429592,206082.0,3.0,5.0,2.0,4.0,5.0,4.0,3.8333333333333335,,,,,,,
time_series,0.0085072452202439,0.0200399470610426,0.9974873065948486,0.1852365732192993,0.3160843447927948,0.9972708821296692,144960.0,bayesian_mlp,Bayesian MLP,292.0,0.0023056325947658,35202.0,7.0,4.0,7.0,5.0,4.0,5.0,5.333333333333333,,,,,,,
time_series,0.0048732655122876,0.0216522351211817,0.9970667362213136,0.1338111311197281,0.3480773582766844,0.9966904520988464,144960.0,bilstm,BiLSTM,284.0,0.0027448391642731,543234.0,2.0,7.0,3.0,7.0,7.0,7.0,5.5,,,,,,,
time_series,0.0077984328381717,0.0215314902545583,0.9970993995666504,0.1678795516490936,0.3254223967172659,0.997107207775116,144960.0,mlp,ANN,291.0,0.0025449092505085,35202.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,
error_metrics,8.029688957313184,13.26725214019452,0.98081116565873,0.2622624745208151,0.3820242668477998,0.9809963510329311,,wide_deep_mlp,Wide & Deep MLP,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.8888888888888888,4.145975715916999,6.82463820352116,0.9809037583458304,906.0,2.0,2.0,1.0
error_metrics,7.882183667090522,12.604885656854227,0.9826793395227305,0.3763745999347211,0.4980727005515917,0.967697169766603,,catboost,CatBoost,,,,1.0,1.0,4.0,4.0,1.0,4.0,2.2222222222222223,4.129279133512622,6.55147917870291,0.9751882546446669,906.0,1.0,1.0,3.0
error_metrics,8.795193774108126,17.5414548861564,0.9664557682716866,0.2485108490477603,0.379602608958857,0.9812365162716312,,gated_mlp,Gated MLP,,,,3.0,5.0,1.0,1.0,5.0,1.0,3.111111111111111,4.521852311577943,8.96052874755763,0.9738461422716588,906.0,3.0,5.0,4.0
error_metrics,10.043878753571231,14.15324271125795,0.9781627203073124,0.3067153087400165,0.42696949191676,0.9762617452043666,,ann,ANN,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.111111111111111,5.175297031155625,7.290106101587355,0.9772122327558396,906.0,4.0,3.0,2.0
error_metrics,10.786692172542091,16.22542518681343,0.971300204614397,0.4253684703589817,0.5646636995825849,0.9584821518453552,,xgboost,XGBoost,,,,5.0,4.0,6.0,6.0,4.0,6.0,5.0,5.606030321450536,8.395044443198007,0.964891178229876,906.0,5.0,4.0,5.0
error_metrics,13.72971310032882,24.36456068280813,0.9352851724946408,0.3845794138748798,0.5418460541672836,0.9617697684950088,,deep_ensemble_mlp,Deep Ensemble MLP,,,,7.0,8.0,5.0,5.0,8.0,5.0,6.444444444444445,7.0571462571018495,12.453203368487706,0.9485274704948248,906.0,6.0,8.0,6.0
error_metrics,13.695783000628046,20.272893499535343,0.9551958641239746,1.252620758932702,1.7302369982720434,0.6101780526774605,,extra_trees,ExtraTrees,,,,6.0,6.0,9.0,9.0,6.0,9.0,7.444444444444445,7.474201879780374,11.001565248903692,0.7826869584007176,906.0,7.0,6.0,9.0
error_metrics,14.424275401526309,21.57965946680809,0.9492336660766676,1.217448485615123,1.6886019084827435,0.6287130804432384,,random_forest,Random Forest,,,,8.0,7.0,8.0,8.0,7.0,8.0,7.666666666666667,7.820861943570715,11.63413068764542,0.7889733732599531,906.0,8.0,7.0,8.0
error_metrics,16.03167163984587,27.77066442034127,0.9159264920145646,0.4550913706514571,0.6146083790358341,0.9508128056231652,,mlp,MLP,,,,9.0,9.0,7.0,7.0,9.0,7.0,8.11111111111111,8.243381505248664,14.192636399688553,0.9333696488188647,906.0,9.0,9.0,7.0
