branch,filename,size_kb,width,height,status,message
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/ann_residuals.png,239.25,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/ann_temperature_parity.png,120.15,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/ann_voltage_parity.png,140.56,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/catboost_feature_importance.png,96.73,1530,773,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/catboost_residuals.png,245.05,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/catboost_temperature_parity.png,127.29,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/catboost_voltage_parity.png,133.65,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/deep_ensemble_mlp_residuals.png,224.15,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/deep_ensemble_mlp_temperature_parity.png,146.96,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/deep_ensemble_mlp_uncertainty.png,147.95,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/deep_ensemble_mlp_voltage_parity.png,190.05,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/extra_trees_feature_importance.png,96.11,1530,773,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/extra_trees_residuals.png,241.6,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/extra_trees_temperature_parity.png,148.94,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/extra_trees_voltage_parity.png,141.69,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/gated_mlp_residuals.png,201.47,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/gated_mlp_temperature_parity.png,116.94,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/gated_mlp_voltage_parity.png,128.41,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/mlp_residuals.png,227.75,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/mlp_temperature_parity.png,135.44,1020,1020,PASS,
